node_id,lon,lat
564,11.5960857,48.1282569
565,11.5965547,48.1285366
566,11.5965425,48.1286327
567,11.5841704,48.1442804
568,11.5837759,48.1444021
569,11.5845891,48.1438734
570,11.5845599,48.1438079
571,11.5814909,48.1447601
572,11.5826328,48.1445288
573,11.5873334,48.1433101
574,11.5870900,48.1433319
575,11.5768789,48.1456707
576,11.5768750,48.1455712
577,11.5646975,48.1462200
578,11.5645310,48.1463324
579,11.5639044,48.1462658
580,11.5638107,48.1461222
581,11.5638169,48.1460985
582,11.5644057,48.1457734
583,11.5641351,48.1457852
584,11.5647633,48.1460595
585,11.5646440,48.1458566
586,11.5555562,48.1315350
587,11.5610734,48.1410348
588,11.5573819,48.1504334
589,11.5571683,48.1501318
590,11.5709141,48.1516934
591,11.5680934,48.1533374
592,11.5756238,48.1538628
593,11.5584568,48.1297926
594,11.5577889,48.1508829
595,11.5581232,48.1502577
596,11.5587614,48.1475789
597,11.5573673,48.1502018
598,11.5591814,48.1464947
599,11.5587097,48.1482200
600,11.5579010,48.1455959
601,11.5584655,48.1462625
602,11.5609670,48.1401748
603,11.5568502,48.1436468
604,11.5564224,48.1428233
605,11.5560535,48.1419979
606,11.5559523,48.1391434
607,11.5615735,48.1420931
608,11.5617100,48.1424924
609,11.5788831,48.1453592
610,11.5778679,48.1455781
611,11.5770310,48.1457385
612,11.5773765,48.1455167
613,11.5770578,48.1455124
614,11.5733489,48.1460982
615,11.5736183,48.1459352
616,11.5737554,48.1458953
617,11.5733359,48.1462501
618,11.5733744,48.1459478
619,11.5734961,48.1458959
620,11.5742731,48.1456741
621,11.5728413,48.1462515
622,11.5732018,48.1461906
623,11.5758927,48.1456367
624,11.5751810,48.1455078
625,11.5751306,48.1453967
626,11.5745900,48.1454455
627,11.5746966,48.1453034
628,11.5829735,48.1415363
629,11.5831013,48.1412364
630,11.5831264,48.1407997
631,11.5834746,48.1440200
632,11.5829092,48.1411443
633,11.5829896,48.1412923
634,11.5842650,48.1437953
635,11.5842811,48.1441779
636,11.5840443,48.1443382
637,11.5839579,48.1442710
638,11.5841737,48.1441141
639,11.5847629,48.1393790
640,11.5779073,48.1210739
641,11.5818241,48.1249937
642,11.5813954,48.1279151
643,11.5798578,48.1235136
644,11.5801244,48.1237905
645,11.5523652,48.1367030
646,11.5652112,48.1374876
647,11.5665918,48.1401257
648,11.5662919,48.1398961
649,11.5678041,48.1404954
650,11.5680248,48.1402882
651,11.5655624,48.1422825
652,11.5660638,48.1417717
653,11.5663648,48.1405181
654,11.5598516,48.1427043
655,11.5618485,48.1419193
656,11.5570837,48.1436964
657,11.5569232,48.1437560
658,11.5613996,48.1420514
659,11.5615320,48.1419996
660,11.5602583,48.1425054
661,11.6008680,48.1417632
662,11.5644521,48.1216019
663,11.5658788,48.1230725
664,11.5486693,48.1361143
665,11.5494298,48.1364020
666,11.5497352,48.1369070
667,11.5495930,48.1369839
668,11.5492586,48.1364667
669,11.5487566,48.1361575
670,11.5870373,48.1342438
671,11.5863078,48.1335444
672,11.5841731,48.1399313
673,11.5846440,48.1393529
674,11.5846315,48.1388104
675,11.5849105,48.1391620
676,11.5849158,48.1390709
677,11.5846325,48.1381868
678,11.5838133,48.1359942
679,11.5823589,48.1348969
680,11.5819083,48.1347521
681,11.5558698,48.1398190
682,11.5559864,48.1398107
683,11.5677714,48.1396504
684,11.5756778,48.1444649
685,11.5778970,48.1433002
686,11.5781526,48.1438445
687,11.5748312,48.1225715
688,11.5560807,48.1421070
689,11.5562352,48.1421015
690,11.5611256,48.1413173
691,11.5569087,48.1419094
692,11.5556137,48.1421736
693,11.5556060,48.1420716
694,11.5559325,48.1440764
695,11.5646820,48.1496500
696,11.5660509,48.1492624
697,11.5634916,48.1499957
698,11.5654756,48.1507815
699,11.5620179,48.1399840
700,11.5624753,48.1406174
701,11.5612353,48.1401730
702,11.5943082,48.1280888
703,11.5679881,48.1250193
704,11.5691054,48.1258300
705,11.5555067,48.1323135
706,11.5535390,48.1328696
707,11.5529133,48.1293475
708,11.5535335,48.1311259
709,11.5531940,48.1340040
710,11.5759799,48.1518608
711,11.5757761,48.1530078
712,11.5765445,48.1527834
713,11.5487198,48.1376244
714,11.5489882,48.1383319
715,11.5624396,48.1394051
716,11.5623155,48.1381196
717,11.5507207,48.1443463
718,11.5563277,48.1449268
719,11.5562336,48.1452828
720,11.5566468,48.1459598
721,11.5522468,48.1472375
722,11.5510254,48.1456550
723,11.5594526,48.1415109
724,11.5631177,48.1415108
725,11.5549931,48.1443182
726,11.5973821,48.1335971
727,11.5990789,48.1323381
728,11.5983374,48.1371238
729,11.5967944,48.1373022
730,11.5984817,48.1419094
731,11.5985149,48.1411318
732,11.5983702,48.1410889
733,11.5960930,48.1335173
734,11.5963241,48.1339025
735,11.5962067,48.1336533
736,11.5938382,48.1326775
737,11.5935263,48.1322772
738,11.5960601,48.1311670
739,11.5991459,48.1344820
740,11.5488360,48.1390405
741,11.5840653,48.1454595
742,11.5845935,48.1352697
743,11.5847540,48.1354556
744,11.5848772,48.1353903
745,11.5857049,48.1353751
746,11.5860960,48.1415173
747,11.5905937,48.1408769
748,11.5912415,48.1407864
749,11.5907634,48.1393135
750,11.5902850,48.1387015
751,11.5927810,48.1405521
752,11.5791829,48.1460266
753,11.5810289,48.1386367
754,11.5807113,48.1383602
755,11.5788820,48.1393265
756,11.5795803,48.1363836
757,11.5782880,48.1364558
758,11.5784130,48.1368442
759,11.5762753,48.1335757
760,11.5749958,48.1343848
761,11.5686864,48.1391207
762,11.5692204,48.1361509
763,11.5696338,48.1362598
764,11.5722733,48.1371950
765,11.5717950,48.1369247
766,11.5744651,48.1554071
767,11.5742201,48.1525027
768,11.5728786,48.1528955
769,11.5631229,48.1527183
770,11.5723795,48.1521186
771,11.5719416,48.1514087
772,11.5817344,48.1501826
773,11.5820332,48.1504535
774,11.5831978,48.1502490
775,11.5839973,48.1501461
776,11.5845168,48.1500692
777,11.5876198,48.1532670
778,11.5851744,48.1539020
779,11.5868569,48.1528813
780,11.5858701,48.1524321
781,11.5856262,48.1522633
782,11.5852386,48.1516434
783,11.5850128,48.1510546
784,11.5846700,48.1504374
785,11.5826038,48.1456166
786,11.5847673,48.1492177
787,11.5846366,48.1495675
788,11.5830682,48.1543171
789,11.5829560,48.1540817
790,11.5807046,48.1545141
791,11.5853551,48.1519510
792,11.5824194,48.1503722
793,11.5810941,48.1501162
794,11.5959884,48.1476254
795,11.5951675,48.1439207
796,11.5953899,48.1475318
797,11.5945749,48.1465618
798,11.5879363,48.1352006
799,11.5892238,48.1369070
800,11.5863730,48.1318424
801,11.5858137,48.1320123
802,11.5618388,48.1251039
803,11.5641001,48.1243502
804,11.5937728,48.1455823
805,11.5536262,48.1300034
806,11.5537684,48.1295243
807,11.5539941,48.1291899
808,11.5544417,48.1288630
809,11.5549947,48.1286806
810,11.5616086,48.1275969
811,11.5657398,48.1249922
812,11.5659880,48.1252828
813,11.5665644,48.1256533
814,11.5666572,48.1258198
815,11.5654737,48.1238543
816,11.5608805,48.1254333
817,11.5617638,48.1280874
818,11.5560681,48.1282517
819,11.5535620,48.1301603
820,11.5771561,48.1464437
821,11.5773416,48.1457938
822,11.5770522,48.1468559
823,11.5717250,48.1529453
824,11.5719509,48.1529925
825,11.5721347,48.1532805
826,11.5720608,48.1534194
827,11.5984620,48.1438904
828,11.6011234,48.1421000
829,11.6013875,48.1420525
830,11.5985381,48.1443794
831,11.5987505,48.1448341
832,11.5851596,48.1426334
833,11.5847668,48.1416173
834,11.5847797,48.1412772
835,11.5847833,48.1414433
836,11.5859927,48.1423152
837,11.6016961,48.1387296
838,11.6025211,48.1387156
839,11.6014803,48.1395843
840,11.6014481,48.1402548
841,11.5740088,48.1521736
842,11.5768897,48.1517108
843,11.5763455,48.1539608
844,11.5781887,48.1537056
845,11.5773824,48.1474149
846,11.5773599,48.1456811
847,11.5714891,48.1529987
848,11.5720860,48.1531324
849,11.5718305,48.1535235
850,11.5540006,48.1276324
851,11.5532737,48.1280451
