node_id,lon,lat,elevation
313,11.5982710,48.1355892,526.0
314,11.5963731,48.1359085,532.0
315,11.5978968,48.1356300,532.0
316,11.6025002,48.1356805,525.0
317,11.5933390,48.1360141,517.0
318,11.5947318,48.1356241,526.0
319,11.5937416,48.1356938,517.0
320,11.5952840,48.1358695,526.0
321,11.5879476,48.1253814,531.0
322,11.5835275,48.1265475,516.0
323,11.5696919,48.1411646,521.0
324,11.5713079,48.1416679,521.0
325,11.5709366,48.1421939,521.0
326,11.5693509,48.1416911,526.0
327,11.5731132,48.1422402,524.0
328,11.5733616,48.1425414,524.0
329,11.5557310,48.1325130,524.0
330,11.5557775,48.1312314,527.0
331,11.5817696,48.1353311,518.0
332,11.5716559,48.1351309,519.0
333,11.5706648,48.1344906,522.0
334,11.5679311,48.1341030,524.0
335,11.5690622,48.1375213,526.0
336,11.5651451,48.1366256,524.0
337,11.5707082,48.1388051,526.0
338,11.5713783,48.1372517,525.0
339,11.5740951,48.1353976,518.0
340,11.5667411,48.1362738,525.0
341,11.5663856,48.1362560,524.0
342,11.5670287,48.1346830,524.0
343,11.5658325,48.1366404,524.0
344,11.5667324,48.1379345,530.0
345,11.5683986,48.1362946,525.0
346,11.5700608,48.1361256,522.0
347,11.5674606,48.1347475,524.0
348,11.5813913,48.1353144,518.0
349,11.5814840,48.1350523,518.0
350,11.5818751,48.1353156,518.0
351,11.5815356,48.1353634,518.0
352,11.5712108,48.1337332,519.0
353,11.5814133,48.1447218,517.0
354,11.5796155,48.1440750,520.0
355,11.5790494,48.1441279,519.0
356,11.5805333,48.1438063,520.0
357,11.5842173,48.1436911,516.0
358,11.5833384,48.1429935,516.0
359,11.5838175,48.1428894,516.0
360,11.5828027,48.1418784,514.0
361,11.5786437,48.1378772,524.0
362,11.5790859,48.1384713,524.0
363,11.5795937,48.1375977,524.0
364,11.5799449,48.1391224,524.0
365,11.5796596,48.1387853,524.0
366,11.5659447,48.1396282,523.0
367,11.5721721,48.1372842,525.0
368,11.5762909,48.1318756,526.0
369,11.5757392,48.1315354,526.0
370,11.5762725,48.1315155,526.0
371,11.5760760,48.1319494,526.0
372,11.5759141,48.1319418,526.0
373,11.5763447,48.1315745,526.0
374,11.5758615,48.1314743,526.0
375,11.5756453,48.1316923,526.0
376,11.5761517,48.1314664,526.0
377,11.5759913,48.1314521,526.0
378,11.5763910,48.1317435,526.0
379,11.5756654,48.1316199,526.0
380,11.5762080,48.1319187,526.0
381,11.5763931,48.1316686,526.0
382,11.5755828,48.1284223,521.0
383,11.5749072,48.1333265,517.0
384,11.5780511,48.1302657,519.0
385,11.5758933,48.1282167,521.0
386,11.5798636,48.1287956,518.0
387,11.5800595,48.1286224,518.0
388,11.5853082,48.1294060,519.0
389,11.5844237,48.1298595,519.0
390,11.5832609,48.1301853,522.0
391,11.5841518,48.1299723,519.0
392,11.5830420,48.1303849,522.0
393,11.5818151,48.1204408,536.0
394,11.5819782,48.1208239,536.0
395,11.5822571,48.1207683,536.0
396,11.5848506,48.1204269,536.0
397,11.5835670,48.1280198,517.0
398,11.5836370,48.1279063,517.0
399,11.5798908,48.1251739,519.0
400,11.5843242,48.1285293,517.0
401,11.5862153,48.1285211,517.0
402,11.5857748,48.1278335,517.0
403,11.5855588,48.1278138,517.0
404,11.5821407,48.1216120,529.0
405,11.5833575,48.1226130,537.0
406,11.5846085,48.1231275,520.0
407,11.5855350,48.1240281,534.0
408,11.5858167,48.1243755,534.0
409,11.5863832,48.1259935,530.0
410,11.5865229,48.1262250,530.0
411,11.5871313,48.1270948,517.0
412,11.5880024,48.1282896,528.0
413,11.5884412,48.1293016,524.0
414,11.5886005,48.1295878,524.0
415,11.5894603,48.1307877,524.0
416,11.5910481,48.1276214,533.0
417,11.5906501,48.1280680,533.0
418,11.5907374,48.1281156,533.0
419,11.5911579,48.1281975,533.0
420,11.5915264,48.1282480,533.0
421,11.5921489,48.1283807,534.0
422,11.5923808,48.1295401,533.0
423,11.5900974,48.1311600,533.0
424,11.5895662,48.1315724,519.0
425,11.5886409,48.1307170,524.0
426,11.5887077,48.1308869,524.0
427,11.5887365,48.1309486,524.0
428,11.5862046,48.1289505,517.0
429,11.5849865,48.1281214,517.0
430,11.5854090,48.1276034,517.0
431,11.5852285,48.1268315,516.0
432,11.5688324,48.1265303,519.0
433,11.5693165,48.1279988,522.0
434,11.5697693,48.1285204,522.0
435,11.5710500,48.1296093,520.0
